FullTime,DateHour,hour,Code,Value,X,Y
2019-12-23T16:40:10.388916,,,c54,32,174,32
2019-12-23T16:40:10.408065,,,c53,171,32,171
2019-12-23T16:40:10.426504,,,c53,169,169,31
2019-12-23T16:40:10.426504,,,c54,31,169,31
2019-12-23T16:40:10.446180,,,c53,167,31,167
2019-12-23T16:40:10.465218,,,c53,164,164,30
2019-12-23T16:40:10.465218,,,c54,30,164,30
2019-12-23T16:40:10.484299,,,c53,161,30,161
2019-12-23T16:40:10.503309,,,c53,159,30,159
2019-12-23T16:40:10.522260,,,c53,157,30,157
2019-12-23T16:40:10.541334,,,c53,155,30,155
2019-12-23T16:40:10.560286,,,c53,152,30,152
2019-12-23T16:40:10.579145,,,c53,150,30,150
2019-12-23T16:40:10.598242,,,c53,148,30,148
2019-12-23T16:40:10.617581,,,c53,146,30,146
2019-12-23T16:40:10.636615,,,c53,144,30,144
2019-12-23T16:40:10.655720,,,c53,143,143,31
2019-12-23T16:40:10.655720,,,c54,31,143,31
2019-12-23T16:40:10.674680,,,c53,141,141,32
2019-12-23T16:40:10.674680,,,c54,32,141,32
2019-12-23T16:40:10.693755,,,c53,140,140,33
2019-12-23T16:40:10.693755,,,c54,33,140,33
2019-12-23T16:40:10.712732,,,c53,138,33,138
2019-12-23T16:40:10.731684,,,c53,137,33,137
2019-12-23T16:40:10.750725,,,c53,136,136,34
2019-12-23T16:40:10.750725,,,c54,34,136,34
2019-12-23T16:40:10.788539,,,c53,135,34,135
2019-12-23T16:40:10.807854,,,c57,-1,0,0
